access_time,number_of_lines,error_lines,errors
2025-08-13 02:10:34.178113,109,13,Jun  1 01:20:18 server-prod-01 sshd[23954]: [ERROR] Failed password for root from 198.51.100.23 port 63122 ssh2
2025-08-13 02:10:34.178113,109,13,Jun  1 01:20:19 server-prod-01 sshd[23954]: [ERROR] Failed password for root from 198.51.100.23 port 63122 ssh2
2025-08-13 02:10:34.178113,109,13,Jun  1 01:20:20 server-prod-01 sshd[23954]: [ERROR] Failed password for root from 198.51.100.23 port 63122 ssh2
2025-08-13 02:10:34.178113,109,13,Jun  1 01:45:03 server-prod-01 kernel: [49413.345678] [ERROR] JBD2: Detected IO errors while flushing file data on sda1-8
2025-08-13 02:10:34.178113,109,13,"Jun  1 01:45:04 server-prod-01 kernel: [49414.456789] [ERROR] Buffer I/O error on device sda1, logical block 12345678"
2025-08-13 02:10:34.178113,109,13,Jun  1 01:50:24 server-prod-01 kernel: [49734.109876] [ERROR] XFS (sdb1): Please unmount the filesystem and rectify the problem(s)
2025-08-13 02:10:34.178113,109,13,Jun  1 02:15:15 server-prod-01 systemd[1]: [ERROR] Failed to start Daily apt upgrade and clean activities.
2025-08-13 02:10:34.178113,109,13,"Jun  1 03:45:23 server-prod-01 mdadm[25134]: [ERROR] RebuildFinished event detected on md device /dev/md0, but rebuild failed"
2025-08-13 02:10:34.178113,109,13,Jun  1 03:45:25 server-prod-01 kernel: [56725.567890] md/raid1:md0: [ERROR] sdc1: rescheduling sector 7654321 for read
2025-08-13 02:10:34.178113,109,13,Jun  1 03:45:26 server-prod-01 kernel: [56726.678901] md/raid1:md0: [ERROR] sdc1: read error at offset 7654321 on device sdc1
2025-08-13 02:10:34.178113,109,13,Jun  1 04:40:12 server-prod-01 kernel: [59412.345678] [ERROR] Memory failure: 0x00000000aa2b5000: recovery action unavailable
2025-08-13 02:10:34.178113,109,13,Jun  1 04:40:13 server-prod-01 kernel: [59413.456789] [ERROR] EDAC MC0: 1 CE memory read error on CPU_SrcID#0_MC#0_Chan#0_DIMM#0 (channel:0 slot:0 page:0x0 offset:0x0 grain:8 syndrome:0x0 - area:DRAM err_code:0001:0091 socket:0 channel_mask:1)
2025-08-13 02:10:34.178113,109,13,Jun  1 04:40:16 server-prod-01 kernel: [59416.789012] [ERROR] EDAC MC0: 1 CE memory read error on CPU_SrcID#0_MC#0_Chan#0_DIMM#0 (channel:0 slot:0 page:0x0 offset:0x0 grain:8 syndrome:0x0 - area:DRAM err_code:0001:0091 socket:0 channel_mask:1)
